Location;State;PUE;Facility Electricity Consumption (MWh);Water Withdrawal (Ml);total space (m^2);water scarcity factor
Clonee;Ireland;1.08;953837.00;659.00;86000.3071;0.2221
Altona;Iowa;1.08;1243306.00;173.00;133780.32;0.2816
Eagle Mountain;Utah;1.08;787740.00;87.00;90115.91;0.2816
Forest City;North Carolina;1.08;507068.00;55.00;68748.22;0.2816
Forth Worth;Texas;1.08;1029570.00;404.00;2043866.0;0.2816
Henrico;Virginia;1.08;805061.00;42.00;41806.35;0.2816
Huntsville;Alabama;1.08;614198.00;152.00;90115.91;0.2816
Los Lunas;New Mexico;1.08;1110100.00;283.00;37161.2;0.2816
Lulea;Sweden;1.08;351931.00;50.00;92903.0;0.358
New Albany;Ohio;1.08;793063.00;72.00;55741.8;0.2816
Odense;Denmark;1.08;518005.00;371.00;25083.81;0.264
Prineville;Oregon;1.08;1375321.00;180.00;297289.6;0.2816
Sarpy;Nebraska;1.08;1148091.00;123.00;2415478.0;0.2816